State,Policy,Up,Down,Left,Right
0,R,-2.28,-2.243,-2.037,0.535
1,R,-1.177,-3.347,-1.588,2.366
2,D,0.017,4.209,-0.687,-0.709
3,D,-0.38,2.308,-0.307,-0.394
4,D,-1.713,-1.526,-1.726,-2.419
5,X,-0.782,-0.226,-0.618,1.764
6,R,0.137,-1.048,-1.93,6.069
7,D,-0.151,7.964,1.272,2.557
8,R,-1.191,-0.876,-0.945,-0.082
9,D,-0.818,2.435,-0.686,-1.226
10,X,0.264,4.208,-0.237,-0.1
11,D,1.366,9.992,-1.603,2.032
12,R,-0.553,-0.568,-0.481,-0.146
13,R,-0.244,-0.199,-0.2,6.181
14,R,-0.42,0.744,0.911,9.657
15,G,0.0,0.0,0.0,0.0
